Id,Char Id,Name,Cmd M,Cmd C,Move,Guard,Damage,Hits,Cancel,Startup,Active,Recovery,Total,Hit Adv,Block Adv,Body
1747,1,不破三連撃(3段目),,MP > LK > HK,un,上,900,,※,17,4,20,40,D,-8,"・※ヒット時、電刃錬気でのみキャンセル可能
・クラシック操作:↓+P、モダン操作:↓＋攻撃"
1748,1,弱 波動拳,,236LP,sp,上・弾,600,,SA3,16,,全体 47,47,1,-5,
1749,1,中 波動拳,,236MP,sp,上・弾,600,,SA3,14,,全体 47,47,-1,-7,
1750,1,強 波動拳,,236HP,sp,上・弾,600,,SA3,12,,全体 47,47,-3,-9,
1751,1,[電刃錬気]波動拳,,236P,sp,上・弾,800,,SA3,12,,全体 42,42,D,-3,
1752,1,OD 波動拳,,236PP,sp,上・弾,800,,SA2,12,,全体 40,40,D,-1,
1753,1,[電刃錬気]OD 波動拳,,236PP,sp,上・弾,1000,,SA2,12,,全体 38,38,D,2,
1754,1,弱 昇龍拳,,623LP,sp,上,※1100,,SA3,5,10,21+着地後12,47,D,-23,"・1-14F空中判定の攻撃に対して無敵
・7-34F空中判定
・※持続の3F目以降は個別ダメージ（800）"
1755,1,中 昇龍拳,,623MP,sp,上,※1200,,SA3,6,10,30+着地後12,57,D,-32,"・1-9F空中判定の攻撃に対して無敵
・8-44F空中判定
・※持続の3F目以降は個別ダメージ（800）"
1756,1,強 昇龍拳,,623HP,sp,上,※1400,,SA3,7,10,34+着地後15,65,D,-39,"・1-8F空中判定の攻撃に対して無敵
・9-49F空中判定
・※持続の2F目以降は個別ダメージ（800）"
1757,1,OD 昇龍拳,,623PP,sp,上,1600,2,,6,10,37+着地後15,67,D,-40,"・1-10F完全無敵
・8-51F空中判定"
1758,1,弱 竜巻旋風脚,,214LK,sp,上,900,,,12,3,14+着地後18,46,D,-15,・5-28F空中判定
1759,1,中 竜巻旋風脚,,214MK,sp,上,1000,2,,14,17,11+着地後20,61,D,-13,・8-41F空中判定
1760,1,強 竜巻旋風脚,,214HK,sp,上,1200,3,,16,32,14+着地後17,78,D,-13,・10-61F 空中判定
1761,1,OD 竜巻旋風脚,,214KK,sp,上,1000,5,,13,25,10+着地後13,60,D,-14,
1762,1,空中竜巻旋風脚,,（前ジャンプ中に）214K,sp,上,900,3,,11,17,着地後16,43,D,,
1763,1,OD 空中竜巻旋風脚,,（前ジャンプ中に）214KK,sp,上,1500,5,,11,18,着地後16,44,D,,
1764,1,弱 上段足刀蹴り,,236LK,sp,上,1100,,SA3,14,6,22,41,D,-11,
1765,1,中 上段足刀蹴り,,236MK,sp,上,1200,,SA3,18,9,19,45,D,-8,
1766,1,強 上段足刀蹴り,,236HK,sp,上,1300,,SA3,29,9,16,53,D,-5,・パニッシュカウンター時吹き飛び時間延長
1767,1,OD 上段足刀蹴り,,236KK,sp,上,800,,SA2,17,5,33,54,D,-18,
1768,1,弱 波掌撃,,214LP,sp,上,700,,SA3,12,6,18,35,2,-3,"・カウンター/パニッシュカウンター時吹き飛びダウン
・飛び道具相殺判定あり"
1769,1,中 波掌撃,,214MP,sp,上,800,,SA3,19,6,17,41,2,-6,"・カウンター/パニッシュカウンター時吹き飛びダウン
・飛び道具相殺判定あり"
1770,1,強 波掌撃,,214HP,sp,上,800,,SA3,30,5,19,53,D,2,・飛び道具相殺判定あり
1771,1,[電刃錬気]波掌撃,,214P,sp,上,800,2,SA3,20,5,19,43,D,3,・飛び道具相殺判定あり
1772,1,OD 波掌撃,,214PP,sp,上,900,,SA2,18,5,20,42,3,3,・飛び道具相殺判定あり
1773,1,[電刃錬気]OD 波掌撃,,214PP,sp,上,800,,SA2,18,6,19,42,D,4,"・ヒット時に膝崩れダウンに＋39
・飛び道具相殺判定あり"
1774,1,電刃錬気,,22P,sp,,0,,,,,全体 52,52,,,"・51F目で電刃錬気を1つストック（1つまでストック可能）
・波動拳、波掌撃、真空波動拳、真波掌撃の性能が強化される"
1775,1,SA1 真空波動拳,,236236P,sa,上・弾,2000,,,7,,全体 86,86,D,-24,"・1-8F打撃・投げに対して無敵
・カウンター/パニッシュカウンターで数値が変動しない
・最低保障ダメージ30％"
1776,1,[電刃錬気]SA1 真空波動拳,,236236P,sa,上・弾,2400,,,7,,全体 86,86,D,-24,"・1-8F打撃・投げに対して無敵
・カウンター/パニッシュカウンターで数値が変動しない
・最低保障ダメージ30％"
1777,1,SA2 真波掌撃(Lv1),,214214P,sa,上,2800,,,12,6,39,56,D,-20,"・1-13F 完全無敵
・ボタンをホールドする事で性能変化
・8F以上ボタンを押して離すとLv2が発動
・38F以上ボタンを押して離すとLv3が発動
・カウンター/パニッシュカウンターで数値が変動しない
・最低保障ダメージ40％"
1778,1,SA2 真波掌撃(Lv2),,214214P,sa,上,2900,,,20,6,39,64,D,-20,"・1-9F完全無敵
・ボタンをホールドする事で性能変化
・8F以上ボタンを押して離すとLv2が発動
・38F以上ボタンを押して離すとLv3が発動
・カウンター/パニッシュカウンターで数値が変動しない
・最低保障ダメージ40％"
1779,1,SA2 真波掌撃(Lv3),,214214P,sa,上,3000,,,70,6,39,114,D,-20,"・1-9F 完全無敵
・ボタンをホールドする事で性能変化
・8F以上ボタンを押して離すとLv2が発動
・38F以上ボタンを押して離すとLv3が発動
・カウンター/パニッシュカウンターで数値が変動しない
・最低保障ダメージ40％"
1780,1,[電刃錬気]SA2 真波掌撃(Lv1),,214214P,sa,上,3200,,,12,6,39,56,D,-20,"・1-13F 完全無敵
・ボタンをホールドする事で性能変化
・8F以上ボタンを押して離すとLv2が発動
・38F以上ボタンを押して離すとLv3が発動
・カウンター/パニッシュカウンターで数値が変動しない
・最低保障ダメージ40％"
1781,1,[電刃錬気]SA2 真波掌撃(Lv2),,214214P,sa,上,3300,,,20,6,39,64,D,-20,"・1-9F 完全無敵
・ボタンをホールドする事で性能変化
・8F以上ボタンを押して離すとLv2が発動
・38F以上ボタンを押して離すとLv3が発動
・カウンター/パニッシュカウンターで数値が変動しない
・最低保障ダメージ40％"
1782,1,[電刃錬気]SA2 真波掌撃(Lv3),,214214P,sa,上,3400,,,70,6,39,114,D,-20,"・1-9F 完全無敵
・ボタンをホールドする事で性能変化
・8F以上ボタンを押して離すとLv2が発動
・38F以上ボタンを押して離すとLv3が発動
・カウンター/パニッシュカウンターで数値が変動しない
・最低保障ダメージ40％"
1783,1,SA3 真・昇龍拳,,236236K,sa,上,4000,6,,5,12,71,87,D,-52,"・1-16F 完全無敵
・最低保障ダメージ50％
・カウンター/パニッシュカウンターで数値が変動しない
・※必殺技キャンセル時のみ適用"
1784,1,CA 真・昇龍拳,,（体力25%以下で）236236K,sa,上,4500,6,,5,12,71,87,D,-52,"・1-16F 完全無敵
・最低保障ダメージ50％
・カウンター/パニッシュカウンターで数値が変動しない
・※必殺技キャンセル時のみ適用"
1785,1,背負い投げ,,（近距離で）N or 6LPLK,th,投,1200,,,5,3,23,30,D,,"・パニッシュカウンター時以下の性能変化
・ダメージ2040
・SAゲージ4000増加
・ハードノックダウン"
1786,1,巴投げ,,（近距離で）4LPLK,th,投,1200,,,5,3,23,30,D,,"・パニッシュカウンター時以下の性能変化
・ダメージ2040
・SAゲージ4000増加
・ハードノックダウン"
1787,1,前方ステップ,,66,ds,,0,,,,,全体 19,19,,,
1788,1,後方ステップ,,44,ds,,0,,,,,全体 23,23,,,・1-15F 投げ無敵
1789,1,ドライブインパクト(震撃),,HPHK,ds,上,800,,,26,2,35,62,,-3,"・1-27F アーマー判定（2回）
・ヒットバックでステージ端に到達すると壁やられが発生
・パニッシュカウンター、もしくはアーマー成立後にヒットで以下の性能変化
・地上ヒット膝崩れ
・空中ヒット吹き飛び時間増加
・SAゲージ3000増加"
1790,1,ドライブリバーサル(胸尖打ち),,（ガード中 or ドライブパリィ成立中に）6HPHK,ds,上,500,,,20,3,26,48,D,-8,"・リカバリアブルダメージ
・1-22F 完全無敵
・ヒット時硬直5F増加"
1791,1,ドライブパリィ,,MPMK,ds,,0,,※1,1,12,33,45,,,"・※1 動作の4F目からドライブラッシュでキャンセル可
・※2 ボタンホールドでパリィの持続を延長可
・硬直部分はガードのみ可
・動作中常に被パニッシュカウンター判定"
1792,1,ジャストパリィ(打撃),,MPMK,ds,,0,,,1,,1,,,,"・パリィを入力したフレーム、もしくはその次のフレームで攻撃を受けると成立する
・硬直終了から5Fの間完全無敵
・（パリィを継続した場合は無敵にならない）
・ジャストパリィを取られた側はキャンセルが出来なくなり、動作終了まで強制パニッシュカウンター"
1793,1,ジャストパリィ(飛び道具),,MPMK,ds,,0,,,1,,10,,,,"・パリィを入力したフレーム、もしくはその次のフレームで攻撃を受けると成立する
・暗転演出が入らない
・ジャストパリィを取られた側はキャンセルが出来なくなり、動作終了まで強制パニッシュカウンター"
1794,1,パリィドライブラッシュ,,（ドライブパリィ中に）66,ds,,0,,※,,,全体 45,45,,,"・暗転10F
・※動作9F目から攻撃行動にキャンセル可
・24F目からパリィ以外の行動でキャンセル可"
1795,1,キャンセルドライブラッシュ,,（必殺技キャンセル可能な攻撃ヒット中に）66 or (N or 6)MPMK,ds,,0,,※,,,全体 46,46,,,"・暗転9F
・※動作10F目から攻撃行動にキャンセル可
・25F目からパリィ以外の行動でキャンセル可"
1796,2,立ち弱P,,5LP,no,上,300,,,7,2,※11,19,2,-3,・※空振り時硬直3F増加
1797,2,立ち弱K,,5LK,no,上,300,,C,5,2,12,18,3,-2,
1798,2,立ち中P,,5MP,no,上,600,,SA,9,4,16,28,2,-3,
1799,2,立ち中K,,5MK,no,上,700,,,8,3,※16,26,1,-3,・※空振り時硬直3F増加
1800,2,立ち強P,,5HP,no,上,800,,C,10,3,23,35,1,-6,
1801,2,立ち強K,,5HK,no,上,900,,,10,7,16,32,2,-5,"・空中ヒット時吹き飛びダウン
・パニッシュカウンター時吹き飛びダウン
・8-15F足元無敵"
1802,2,しゃがみ弱P,,2LP,no,上,300,,C,4,2,10,15,4,-2,・連打キャンセル対応
1803,2,しゃがみ弱K,,2LK,no,下,200,,,5,3,12,19,-1,-5,・連打キャンセル対応
1804,2,しゃがみ中P,,2MP,no,上,600,,C,6,2,14,21,5,1,・※空振り時硬直3F増加
1805,2,しゃがみ中K,,2MK,no,下,500,,C,8,3,19,29,-2,-6,
1806,2,しゃがみ強P,,2HP,no,上,800,,C,7,5,24,35,1,-13,"・強制立ち効果
・キャンセルは持続の1F目まで"
1807,2,しゃがみ強K,,2HK,no,下,900,,,10,3,27,39,,-9,・カウンター/パニッシュカウンター時ダウン時間増加
1808,2,ジャンプ弱P,,（ジャンプ中に）LP,ju,中,300,,,5,9,着地後3,16,,,
1809,2,ジャンプ弱K,,（ジャンプ中に）LK,ju,中,300,,,6,6,着地後3,14,,,・めくり性能
1810,2,ジャンプ中P,,（ジャンプ中に）MP,ju,中,700,,C,9,4,着地後3,15,,,・空中ヒット時吹き飛びダウン
1811,2,ジャンプ中K,,（ジャンプ中に）MK,ju,中,500,,,7,6,着地後3,15,,,・めくり性能
1812,2,ジャンプ強P,,（ジャンプ中に）HP,ju,中,800,,,9,6,着地後3,17,,,・空中カウンター/パニッシュカウンター時叩きつけダウン
1813,2,ジャンプ強K,,（ジャンプ中に）HK,ju,中,800,,,10,6,着地後3,18,,,
1814,2,ローハイド,,6MP,un,中,600,,,21,2,21,43,2,-3,・空中ヒット時叩きつけダウン
1815,2,サプレッサー,,4HP,un,上,800,,C,16,3,20,38,3,-3,
1816,2,アウトローキック,,4HK,un,上,1000,,,12,4,24,39,4,-5,"・パニッシュカウンター時+17F
・空中ヒット時吹き飛びダウン"
1817,2,ダブルインパクト(1段目),,6HP,un,上,800,,,16,3,※15,33,3,-3,・※空振り時硬直4F増加
1818,2,ダブルインパクト(2段目),,6HP > HP,un,上,600,,C,11,2,34,46,D,-19,
1819,2,トリプルインパクト(2段目),,LP > MP,un,上,400,,,8,4,20,31,-2,-9,
1820,2,トリプルインパクト(3段目),,LP > MP > HP,un,上,600,,C,10,3,27,39,D,-14,
1821,2,スナップバックコンボ(2段目),,MP > MP,un,上,300,,SA,12,2,23,36,0,-8,
1822,2,ノーズブレイカー,,2MK > 2HP,un,上,600,,,9,3,25,36,1,-8,
1823,2,スナップバックコンボ(3段目),,MP > MP > MP,un,上,300,,,11,2,29,41,-6,-14,
1824,2,スナップバックコンボ(4段目),,MP > MP > MP > MP,un,上,500,,,11,2,27,39,D,-12,
1825,2,弱 サンドブラスト,,236LP,sp,上・弾,600,,SA3,14,5,全体 47,47,-3,-8,
1826,2,中 サンドブラスト,,236MP,sp,上・弾,600,,SA3,17,7,全体 47,47,0,-5,
1827,2,強 サンドブラスト,,236HP,sp,上・弾,600,,SA3,20,10,全体 47,47,3,-2,
1828,2,OD サンドブラスト,,236PP,sp,上・弾,800,,SA2,16,,全体 40,40,D,-2,
1829,2,フェイタルショット,,（ODサンドブラスト後に）PP,sp,上・弾,1000,,SA2,12,,全体 54,54,D,-21,・発動時にドライブゲージを10000消費
1830,2,弱 フラッシュナックル,,214LP,sp,上,700,,SA3,13,3,31,46,D,-18,"・18F以上ボタンホールドすると性能変化
・18-20Fの間に離すとジャスト版が発生"
1831,2,弱 フラッシュナックル(ホールド),,214LPホールド,sp,上,800,,SA3,26,4,25,54,D,-8,"・28-29F相殺判定
・2段目にコンボ補正がかかる"
1832,2,弱 フラッシュナックル(ジャスト),,214LPホールド,sp,上,900,,SA3,26,4,25,54,D,-8,"・28-29F相殺判定
・2段目にコンボ補正がかかる"
1833,2,中 フラッシュナックル,,214MP,sp,上,900,,SA3,19,3,27,48,3,-10,"・18F以上ボタンホールドすると性能変化
・18-20Fの間に離すとジャスト版が発生"
1834,2,中 フラッシュナックル(ホールド),,214MPホールド,sp,上,1000,,SA3,30,4,26,59,D,-3,"・32-33F相殺判定
・2段目にコンボ補正がかかる
・アーマーヒット時硬直4F減少"
1835,2,中 フラッシュナックル(ジャスト),,214MPホールド,sp,上,1100,,SA3,29,4,26,58,D,-3,"・31-32F相殺判定
・2段目にコンボ補正がかかる"
1836,2,強 フラッシュナックル,,214HP,sp,上,1000,,SA3,22,3,21,45,D,-4,"・18F以上ボタンホールドすると性能変化
・18-20Fの間に離すとジャスト版が発生"
1837,2,強 フラッシュナックル(ホールド),,214HPホールド,sp,上,1300,,SA3,33,4,24,60,D,4,・35-36F相殺判定
1838,2,強 フラッシュナックル(ジャスト),,214HPホールド,sp,上,1600,,SA3,33,4,24,60,D,4,・35-36F相殺判定
1839,2,OD フラッシュナックル,,214PP,sp,上,400,,SA2,15,15,39,68,-,-22,"・ヒット時2段目に派生
・初段ヒット時のみDDTへ派生可"
1840,2,OD フラッシュナックル(2段目),,214PP,sp,上,400,,SA2,33,4,16,52,D,,
1841,2,DDT,,（ODフラッシュナックル後に）PP,sp,上,2500,,,1,1,,,D,,・発動時にドライブゲージを10000消費
1842,2,エアフラッシュナックル,,（垂直 or 前ジャンプ中に）214P,sp,上,700,,,14,5,着地後13,31,D,,・※高空で空振り時硬直7F増加
1843,2,エアフラッシュナックル(ホールド),,（垂直 or 前ジャンプ中に）214Pホールド,sp,上,1000,,,23,6,着地後15,43,D,,
1844,2,OD エアフラッシュナックル,,（垂直 or 前ジャンプ中に）214PP,sp,上,1300,,,14,6,着地後15,34,D,,
1845,2,アベンジャー,,236K,sp,,0,,,,,全体 45,45,,,・13-31F専用技に派生可
1846,2,OD アベンジャー,,236KK,sp,,0,,,,,全体 45,45,,,"・3-35Fアーマー判定（1回）
・12-31F専用技に派生可"
1847,2,ノーチェイサー,,（アベンジャー中に）P,sp,上,900,,SA3,12,10,16,37,D,-6,
1848,2,OD ノーチェイサー,,（ODアベンジャー中に）P,sp,上,1300,,SA2,12,10,16,37,D,-6,
1849,2,インパラー,,（アベンジャー中に）K,sp,中,1200,,,13,13,22,47,D,-8,・空振り時硬直5F増加
1850,2,OD インパラー,,（ODアベンジャー中に）K,sp,中,1200,,,13,13,19,44,D,-5,
1851,2,弱 ライジングアッパー,,623LP,sp,上,※900,,SA3,5,10,22+着地後12,48,D,-27,"・1-14F空中判定の攻撃に対して無敵
・8-36F空中判定
・※持続の3F目以降は個別ダメージ（800）"
1852,2,中 ライジングアッパー,,623MP,sp,上,※1000,,SA3,6,10,24+着地後12,51,D,-29,"・1-8F空中判定の攻撃に対して無敵
・9-39F空中判定
・※持続の3F目以降は個別ダメージ（800）"
1853,2,強 ライジングアッパー,,623HP,sp,上,※1200,,SA3,9,10,25+着地後15,58,D,-33,"・1-9F空中判定の攻撃に対して無敵
・11-43F空中判定
・※持続の2F目以降は個別ダメージ（800）"
1854,2,OD ライジングアッパー,,623PP,sp,上,1400,2,,6,10,35+着地後15,65,D,-40,"・1-10F完全無敵
・8-50F空中判定
・ヒット時のみスラムダンクへ派生可"
1855,2,スラムダンク,,（ODライジングアッパー後に） PP,sp,中,600,,,16,3,14+着地後16,48,D,,・発動時にドライブゲージを10000消費
1856,2,SA1 バルカンブラスト,,236236P,sa,上・弾,2000,,,6,,全体 108,108,D,-29,"・1-6F打撃・投げに対して無敵
・最低保障ダメージ30％
・カウンター/パニッシュカウンターで数値が変動しない"
1857,2,SA2 イレイザー,,214214P,sa,上,2800,,,5,3,51,58,D,-29,"・1-7F完全無敵
・ヒット時2段目以降に派生
・最低保障ダメージ40％
・カウンター/パニッシュカウンターで数値が変動しない"
1858,2,SA3 ペイルライダー,,236236K,sa,上,4000,,,10,4,92,105,D,-42,"・相手との距離に応じて発生が変化
・密着発動時
・発生10F1-13F完全無敵
・最遠距離発動時
・発生27F1-13F完全無敵
・最低保障ダメージ50％
・カウンター/パニッシュカウンターで数値が変動しない
・※必殺技キャンセル時のみ適用"
1859,2,CA ペイルライダー,,（体力25%以下で）236236K,sa,上,4500,,,10,4,92,105,D,-42,"・相手との距離に応じて発生が変化
・密着発動時
・発生10F1-13F完全無敵
・最遠距離発動時
・発生27F1-13F完全無敵
・最低保障ダメージ50％
・カウンター/パニッシュカウンターで数値が変動しない
・※必殺技キャンセル時のみ適用"
1860,2,スウィーパー,,（近距離で）N or 6LPLK,th,投,1200,,,5,3,23,30,D,,"・パニッシュカウンター時以下の性能変化
・ダメージ2040
・SAゲージ4000増加
・ハードノックダウン"
1861,2,スクラッパー,,（近距離で）4LPLK,th,投,1200,,,5,3,23,30,D,,"・パニッシュカウンター時以下の性能変化
・ダメージ2040
・SAゲージ4000増加
・ハードノックダウン"
1862,2,前方ステップ,,66,ds,,0,,,,,全体 19,19,,,
1863,2,後方ステップ,,44,ds,,0,,,,,全体 23,23,,,・1-15F 投げ無敵
1864,2,ドライブインパクト(マズルフラッシュ),,HPHK,ds,上,800,,,26,2,35,62,D,-3,"・1-27F アーマー判定（2回）
・ヒットバックでステージ端に到達すると壁やられが発生
・パニッシュカウンター、もしくはアーマー成立後にヒットで以下の性能変化
・地上ヒット膝崩れ
・空中ヒット吹き飛び時間増加
・SAゲージ3000増加"
1865,2,ドライブリバーサル(バッターリングラム),,（ガード中 or ドライブパリィ成立中に）6HPHK,ds,上,500,,,20,3,26,48,D,-8,"・リカバリアブルダメージ
・1-22F 完全無敵
・ヒット時硬直5F増加"
1866,2,ドライブパリィ,,MPMK,ds,,0,,※1,1,12,33,45,,,"・※1 動作の4F目からドライブラッシュでキャンセル可
・※2 ボタンホールドでパリィの持続を延長可
・硬直部分はガードのみ可
・動作中常に被パニッシュカウンター判定"
1867,2,ジャストパリィ(打撃),,MPMK,ds,,0,,,1,,1,,,,"・パリィを入力したフレーム、もしくはその次のフレームで攻撃を受けると成立する
・硬直終了から5Fの間完全無敵
・（パリィを継続した場合は無敵にならない）
・ジャストパリィを取られた側はキャンセルが出来なくなり、動作終了まで強制パニッシュカウンター"
1868,2,ジャストパリィ(飛び道具),,MPMK,ds,,0,,,1,,10,,,,"・パリィを入力したフレーム、もしくはその次のフレームで攻撃を受けると成立する
・暗転演出が入らない
・ジャストパリィを取られた側はキャンセルが出来なくなり、動作終了まで強制パニッシュカウンター"
1869,2,パリィドライブラッシュ,,（ドライブパリィ中に）66,ds,,0,,※,,,全体 45,45,,,"・暗転10F
・※動作9F目から攻撃行動にキャンセル可
・24F目からパリィ以外の行動でキャンセル可"
1870,2,キャンセルドライブラッシュ,,（必殺技キャンセル可能な攻撃ヒット中に）66 or (N or 6)MPMK,ds,,0,,※,,,全体 46,46,,,"・暗転9F
・※動作10F目から攻撃行動にキャンセル可
・25F目からパリィ以外の行動でキャンセル可"
1871,3,立ち弱P,,5LP,no,上,300,,C,5,2,7,13,5,0,
1872,3,立ち弱K,,5LK,no,上,300,,C,5,2,11,17,3,-1,・連打キャンセル対応
1873,3,立ち中P,,5MP,no,上,600,,,8,4,14,25,5,2,
1874,3,立ち中K,,5MK,no,上,600,,C,10,3,17,29,2,-3,
1875,3,立ち強P,,5HP,no,上,900,3,C,5,10,20,34,1,-3,"・持続の1F目までキャンセル可
・空中ヒット時吹き飛びやられ"
1876,3,立ち強K,,5HK,no,上,800,,C,15,3,21,38,1,-5,"・パニッシュカウンター時膝くずれ
・空中ヒット時吹き飛びやられ"
1877,3,しゃがみ弱P,,2LP,no,上,250,,C,4,2,9,14,5,-1,・連打キャンセル対応
1878,3,しゃがみ弱K,,2LK,no,下,200,,,5,2,11,17,1,-3,・連打キャンセル対応
1879,3,しゃがみ中P,,2MP,no,上,600,,C,6,3,13,21,5,-1,
1880,3,しゃがみ中K,,2MK,no,下,500,,C,7,3,18,27,-1,-6,
1881,3,しゃがみ強P,,2HP,no,上,900,,C,9,5,23,36,0,-8,"・強制立ち効果
・持続の2F目までキャンセル可"
1882,3,しゃがみ強K,,2HK,no,※下,800,2,,9,7,28,43,D,-11,"・地上ヒット時ハードノックダウン
・カウンター/パニッシュカウンター時ダウン時間延長
・空中ヒット時吹き飛びやられ
・※ガード時硬直1F増加
・※初段がガード時のみ2段目が上段判定"
1883,3,ジャンプ弱P,,（ジャンプ中に）LP,ju,中,300,,,5,9,着地後3,16,,,・めくり性能
1884,3,ジャンプ弱K,,（ジャンプ中に）LK,ju,中,300,,,6,6,着地後3,14,,,
1885,3,ジャンプ中P,,（ジャンプ中に）MP,ju,中,700,,C,7,4,着地後3,13,,,・空中ヒット時吹き飛びやられ
1886,3,ジャンプ中K,,（ジャンプ中に）MK,ju,中,500,,,7,6,着地後3,15,,,・めくり性能
1887,3,ジャンプ強P,,（ジャンプ中に）HP,ju,中,800,,,10,6,着地後3,18,,,・空中ヒット時叩きつけダウン
1888,3,ジャンプ強K,,（ジャンプ中に）HK,ju,中中,800,2,,8,12,着地後3,22,,,
1889,3,天晴脚,,2KK,un,上,600,,,9,3,22,33,D,-8,・ヒット時のみジャンプキャンセル可能
1890,3,幻酔舞(2段目),,2HK > HK,un,上,500,,,12,3,43,57,D,-28,
1891,3,幻酔舞(3段目),,2HK > HK > P,un,,0,,,,,全体 60,60,,,"・56F目で酔いLv1上昇
・酔いLv4時ドライブゲージ10000回復"
1892,3,落星脚,,6MK,un,中,600,,,22,3,20,44,1,-3,
1893,3,仙姑肘,,4HP,un,上,800,,SA,18,4,20,41,1,-3,
1894,3,旋影脚,,6HK,un,上,900,,SA,16,3,20,38,3,-3,
1895,3,鋭鍾打(1段目),,（酔いLv1以上）LP,un,上,300,,C,5,3,9,16,2,-3,・酔いLv1以上で発動可能
1896,3,鋭鍾打(2段目),,（酔いLv1以上）LP > LK,un,上,200,,,6,2,16,23,-3,-8,・酔いLv1以上で発動可能
1897,3,鋭鍾打(3段目),,（酔いLv1以上）LP > LK > MP,un,上,500,,C,8,3,21,31,-2,-10,"・酔いLv1以上で発動可能
・※ガード時硬直2F増加"
1898,3,円月脚(1段目),,6MK,un,中,600,,,22,3,20,44,1,-3,
1899,3,円月脚(2段目),,（酔いLv2以上）6MK > MK,un,上,400,2,,15,10,28,52,D,-14,・酔いLv2以上で発動可能
1900,3,円月脚(3段目),,（酔いLv2以上）6MK > MK > P,un,,0,,,,,全体 61,61,,,"・酔いLv2以上で発動可能
・54F目で酔いLv1上昇
・酔いLv4時ドライブゲージ10000回復"
1901,3,酩酊襲(1段目),,（酔いLv3以上）4HP,un,上,800,,SA,18,3,21,41,1,-3,・酔いLv3以上で発動可能
1902,3,酩酊襲(2段目),,（酔いLv3以上）4HP > HP,un,上,600,,SA,21,4,20,44,1,-11,・酔いLv3以上で発動可能
1903,3,酩酊襲(3段目),,（酔いLv3以上）4HP > HP > HK,un,上,800,,,21,3,37,60,D,-20,・酔いLv3以上で発動可能
1904,3,乱酔旋(1段目),,（酔いLv4以上）6HK,un,上,900,,,16,4,19,38,3,-3,
